group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
upload,,,,,69124922.0,ns,3
upload,,,,,65283148.0,ns,3
upload,,,,,65451444.0,ns,3
upload,,,,,67438725.0,ns,3
upload,,,,,71631274.0,ns,3
upload,,,,,69100085.0,ns,3
upload,,,,,69063487.0,ns,3
upload,,,,,72108948.0,ns,3
upload,,,,,70453759.0,ns,3
upload,,,,,70510075.0,ns,3
upload,,,,,71307618.0,ns,3
upload,,,,,66406421.0,ns,3
upload,,,,,68018250.0,ns,3
upload,,,,,66774221.0,ns,3
upload,,,,,68262218.0,ns,3
upload,,,,,71128373.0,ns,3
upload,,,,,69421929.0,ns,3
upload,,,,,71331765.0,ns,3
upload,,,,,70216967.0,ns,3
upload,,,,,71454594.0,ns,3
upload,,,,,70300163.0,ns,3
upload,,,,,70363121.0,ns,3
upload,,,,,69189393.0,ns,3
upload,,,,,70603311.0,ns,3
upload,,,,,70888204.0,ns,3
upload,,,,,69046385.0,ns,3
upload,,,,,71136750.0,ns,3
upload,,,,,68632241.0,ns,3
upload,,,,,67481287.0,ns,3
upload,,,,,65844582.0,ns,3
upload,,,,,69160089.0,ns,3
upload,,,,,70930093.0,ns,3
upload,,,,,70842730.0,ns,3
upload,,,,,66266893.0,ns,3
upload,,,,,65150703.0,ns,3
upload,,,,,64825113.0,ns,3
upload,,,,,64813110.0,ns,3
upload,,,,,68199070.0,ns,3
upload,,,,,67430782.0,ns,3
upload,,,,,66800572.0,ns,3
upload,,,,,66426922.0,ns,3
upload,,,,,67801327.0,ns,3
upload,,,,,66204246.0,ns,3
upload,,,,,66216710.0,ns,3
upload,,,,,69297237.0,ns,3
upload,,,,,68131284.0,ns,3
upload,,,,,74119576.0,ns,3
upload,,,,,72713864.0,ns,3
upload,,,,,69386054.0,ns,3
upload,,,,,70313380.0,ns,3
upload,,,,,70168128.0,ns,3
upload,,,,,67589670.0,ns,3
upload,,,,,68583612.0,ns,3
upload,,,,,68955137.0,ns,3
upload,,,,,67994408.0,ns,3
upload,,,,,68079278.0,ns,3
upload,,,,,67360922.0,ns,3
upload,,,,,66660191.0,ns,3
upload,,,,,71544877.0,ns,3
upload,,,,,70914537.0,ns,3
upload,,,,,69037252.0,ns,3
upload,,,,,70549824.0,ns,3
upload,,,,,71300159.0,ns,3
upload,,,,,68430757.0,ns,3
upload,,,,,68476722.0,ns,3
upload,,,,,67165687.0,ns,3
upload,,,,,65639741.0,ns,3
upload,,,,,63949426.0,ns,3
upload,,,,,65155534.0,ns,3
upload,,,,,64270596.0,ns,3
upload,,,,,70313682.0,ns,3
upload,,,,,68113764.0,ns,3
upload,,,,,64426330.0,ns,3
upload,,,,,65405753.0,ns,3
upload,,,,,64861434.0,ns,3
upload,,,,,66544245.0,ns,3
upload,,,,,66679799.0,ns,3
upload,,,,,67907317.0,ns,3
upload,,,,,66030002.0,ns,3
upload,,,,,67851953.0,ns,3
upload,,,,,67545259.0,ns,3
upload,,,,,67624988.0,ns,3
upload,,,,,66776680.0,ns,3
upload,,,,,64355046.0,ns,3
upload,,,,,65840768.0,ns,3
upload,,,,,64820759.0,ns,3
upload,,,,,67116176.0,ns,3
upload,,,,,66479394.0,ns,3
upload,,,,,65732005.0,ns,3
upload,,,,,68121560.0,ns,3
upload,,,,,72703429.0,ns,3
upload,,,,,65917823.0,ns,3
upload,,,,,66645505.0,ns,3
upload,,,,,71287186.0,ns,3
upload,,,,,68767078.0,ns,3
upload,,,,,64861576.0,ns,3
upload,,,,,65717107.0,ns,3
upload,,,,,65983516.0,ns,3
upload,,,,,68209223.0,ns,3
upload,,,,,66307643.0,ns,3
